index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
163,South Dakota,2017-18,St. Katharine Drexel Elementary,,,Minnehaha,,19.0,100.0,-1.0,,,
3183,Illinois,2018-19,Madison Student Support Center,,Madison,Madison,,18.0,94.44444444,-1.0,,,
1464,New York,2017-18,Hillside,Public,Schenectady,Schenectady,,,99.3,-1.0,0.5,,
5950,California,2018-19,Lankershim Elementary,Public,North Hollywood,Los Angeles,,90.0,92.0,92.0,,2.0,
279,Maine,2018-19,Hancock Grammar,,,Hancock,,18.0,88.89,-1.0,,,11.11
1081,Illinois,2018-19,Earl H Hanson Elementary,,Rock Island,Rock Island,,392.0,98.97959184,-1.0,0.77,,
1168,New York,2017-18,Watson Williams Elementary,Public,Utica,Oneida,,,99.6,-1.0,,0.14,
1376,Wisconsin,2018-19,Parkview Elementary,,Milwaukee,Milwaukee,,,-1.0,56.0,5.0,,5.0
257,Massachusetts,2018-19,South,Public,Somerset,Bristol,,,100.0,-1.0,,,
148,Rhode Island,2018-19,Providence Hebrew Day,,Providence,,,15.0,-1.0,93.3,,,
755,Colorado,2017-18,North Star Elementary,Kindergarten,,Adams,Steamboat Springs RE-2,55.0,96.36,90.91,,,5.45
1889,New Jersey,,Stone Harbor Elementary,,,Cape May,,21.0,-1.0,81.0,14.3,,
1086,New Jersey,,Frank K. Hehnly,,,Union,,78.0,-1.0,97.4,2.6,,
971,Florida,2018-19,Frontier Elementary,,,,Palm Beach,79.0,-1.0,94.94,5.063291139,,
1697,California,2018-19,Dingle Elementary,Public,Woodland,Yolo,,72.0,98.0,98.0,,2.0,
4446,California,2018-19,Bethany Lutheran,Private,Long Beach,Los Angeles,,24.0,95.0,95.0,,5.0,
985,Arizona,2018-19,International School Of Arizona,Private,Scottsdale,Maricopa,,28.0,82.14,-1.0,,3.57,28.57
3048,California,2018-19,Roosevelt Elementary,Public,Bakersfield,Kern,,95.0,98.0,98.0,,2.0,
